iter	Passed	Remaining
0	1	1335
1	1	746
2	3	1167
3	6	1634
4	7	1428
5	7	1218
6	7	1096
7	8	1021
8	8	944
9	8	879
10	9	888
11	10	888
12	11	843
13	11	819
14	12	794
15	12	768
16	13	775
17	13	759
18	14	763
19	15	760
20	16	748
21	16	728
22	16	712
23	17	703
24	19	770
25	20	760
26	20	751
27	21	742
28	21	736
29	22	724
30	22	716
31	23	700
32	23	685
33	23	680
34	24	678
35	25	671
36	25	657
37	25	649
38	25	637
39	27	655
40	28	665
41	29	662
42	29	652
43	29	647
44	30	644
45	31	646
46	31	644
47	32	641
48	32	637
49	33	627
50	33	626
51	34	629
52	34	624
53	35	621
54	36	619
55	37	629
56	37	626
57	38	618
58	38	618
59	39	616
60	40	617
61	40	615
62	41	612
63	41	609
64	42	617
65	44	628
66	46	642
67	46	639
68	47	641
69	48	643
70	49	644
71	49	641
72	50	640
73	50	638
74	62	765
75	62	761
76	66	794
77	66	789
78	67	783
79	67	779
80	71	807
81	71	804
82	73	808
83	75	818
84	75	814
85	76	809
86	77	813
87	78	809
88	79	813
89	79	808
90	80	805
91	81	800
92	84	822
93	85	822
94	87	829
95	88	832
96	89	831
97	91	839
98	91	835
99	92	831
100	94	837
101	95	844
102	96	838
103	97	839
104	98	835
105	98	830
106	98	826
107	99	822
108	100	818
109	100	814
110	104	835
111	104	831
112	105	827
113	106	826
114	107	825
115	108	826
116	109	822
117	109	819
118	110	815
119	111	816
120	111	812
121	112	810
122	114	814
123	114	810
124	116	813
125	116	809
126	117	807
127	118	804
128	118	800
129	119	798
130	120	799
131	121	795
132	122	797
133	122	793
134	123	788
135	124	789
136	124	786
137	125	783
138	129	800
139	129	796
140	130	797
141	131	793
142	131	790
143	132	787
144	133	789
145	134	786
146	134	782
147	136	783
148	137	783
149	137	780
150	138	777
151	138	774
152	140	776
153	141	775
154	141	772
155	143	774
156	144	775
157	145	777
158	147	780
159	148	780
160	149	780
161	150	778
162	150	775
163	154	787
164	155	784
165	155	781
166	156	779
167	156	776
168	157	775
169	158	775
170	159	772
171	161	775
172	161	771
173	162	769
174	162	766
175	167	783
176	169	786
177	171	792
178	173	796
179	174	796
180	175	794
181	176	791
182	181	808
183	182	809
184	184	811
185	187	820
186	189	822
187	191	827
188	193	831
189	196	838
190	198	842
191	199	839
192	200	836
193	206	856
194	206	853
195	207	850
196	208	849
197	210	851
198	212	854
199	214	857
200	215	854
201	217	858
202	221	868
203	224	874
204	224	872
205	225	869
206	225	865
207	237	903
208	237	900
209	238	897
210	243	909
211	243	906
212	244	903
213	244	899
214	245	896
215	246	892
216	246	889
217	246	885
218	247	883
219	248	880
220	250	882
221	250	878
222	251	875
223	251	872
224	257	888
225	267	915
226	267	911
227	268	908
228	268	904
229	269	901
230	271	902
231	271	899
232	272	896
233	274	899
234	275	896
235	276	895
236	277	892
237	277	889
238	278	886
239	278	883
240	281	885
241	281	882
242	282	879
243	282	876
244	283	874
245	284	871
246	285	869
247	285	866
248	286	864
249	286	860
250	288	860
251	289	857
252	289	856
253	290	853
254	296	865
255	297	865
256	298	862
257	298	859
258	303	869
259	304	866
260	305	863
261	305	860
262	305	857
263	306	854
264	307	851
265	307	848
266	307	845
267	308	842
268	308	839
269	309	836
270	309	833
271	314	842
272	315	839
273	315	836
274	316	833
275	316	830
276	317	828
277	317	825
278	318	822
279	320	823
280	320	820
281	321	819
282	322	816
283	322	813
284	324	813
285	324	810
286	325	808
287	325	805
288	326	803
289	327	800
290	330	806
291	331	803
292	331	801
293	332	799
294	333	796
295	333	794
296	334	791
297	339	800
298	345	810
299	346	807
300	356	828
301	357	826
302	366	843
303	368	844
304	369	841
305	380	863
306	381	860
307	381	857
308	382	855
309	383	852
310	385	853
311	385	851
312	386	848
313	387	846
314	388	843
315	390	845
316	399	860
317	402	862
318	402	859
319	403	856
320	403	854
321	404	851
322	404	848
323	405	845
324	405	843
325	406	840
326	407	837
327	407	834
328	407	832
329	408	829
330	409	826
331	409	823
332	410	821
333	412	822
334	413	820
335	414	818
336	415	816
337	417	817
338	417	814
339	418	812
340	418	809
341	419	807
342	419	804
343	421	803
344	421	800
345	422	798
346	422	795
347	423	793
348	424	791
349	425	790
350	426	787
351	426	785
352	427	783
353	427	781
354	428	778
355	429	777
356	430	775
357	430	772
358	434	776
359	435	773
360	435	771
361	436	769
362	437	766
363	437	764
364	438	762
365	439	761
366	440	760
367	441	757
368	445	761
369	445	758
370	447	757
371	447	755
372	448	753
373	449	751
374	449	749
375	451	749
376	452	747
377	453	746
378	454	744
379	456	744
380	456	741
381	457	739
382	459	740
383	460	738
384	460	736
385	461	733
386	462	732
387	462	730
388	463	728
389	464	725
390	465	724
391	465	722
392	467	721
393	467	719
394	468	718
395	469	715
396	472	717
397	472	715
398	473	712
399	473	710
400	474	708
